ID,Class,Subject,Chapter,Topic,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Difficulty
35,Class 9,Maths,Circles,Angle Subtended by a Chord,"In a circle with center O, angle AOB = 100°, where AB is a chord. The angle subtended by chord AB at a point C on the major arc is:",50°,100°,80°,200°,Option A,"The angle subtended by an arc at the center is double the angle subtended at any point on the remaining part of the circle. So angle ACB = 1/2 x 100° = 50°.",medium
36,Class 9,Maths,Circles,Perpendicular from Center to Chord,"A chord of length 16 cm is at a distance of 6 cm from the center of the circle. The radius of the circle is:",10 cm,12 cm,8 cm,14 cm,Option A,"The perpendicular from the center bisects the chord, so half-chord = 8 cm. Radius = sqrt(8^2 + 6^2) = sqrt(100) = 10 cm.",medium
37,Class 9,Maths,Circles,Perpendicular from Center to Chord,"The perpendicular from the center of a circle to a chord of length 24 cm is 5 cm. The radius of the circle is:",13 cm,12 cm,17 cm,15 cm,Option A,"The perpendicular bisects the chord, giving half-chord = 12 cm. Radius = sqrt(12^2 + 5^2) = sqrt(169) = 13 cm.",medium
38,Class 9,Maths,Circles,Angle Subtended by a Chord,"In a circle with center O, OA = OB (radii) and angle AOB = 80°. Find angle OAB.",50°,40°,80°,60°,Option A,"Triangle OAB is isosceles with OA = OB, so angle OAB = angle OBA = (180° - 80°)/2 = 50°.",medium
39,Class 9,Maths,Circles,Equal Chords & Their Distances,"AB and CD are two chords of a circle with center O, at distances 6 cm and 8 cm respectively from O. Which chord is longer?",AB,CD,Both are equal,Cannot be determined,Option A,"Equal chords are equidistant from the center, and the chord closer to the center is the longer one. Since AB is at 6 cm (closer) and CD at 8 cm, AB is longer.",medium
40,Class 9,Maths,Circles,Angle in a Semicircle,"In a circle with center O, AC is a diameter and angle ACB = 35°. Find angle BAC.",55°,35°,45°,65°,Option A,"AC is a diameter, so angle ABC = 90° (angle in a semicircle). In triangle ABC: angle BAC = 180° - 90° - 35° = 55°.",medium
41,Class 9,Maths,Circles,Cyclic Quadrilaterals,"ABCD is a cyclic quadrilateral. If angle A = 110°, then angle C equals:",70°,110°,90°,55°,Option A,"The sum of either pair of opposite angles of a cyclic quadrilateral is 180°. So angle C = 180° - 110° = 70°.",medium
42,Class 9,Maths,Circles,Cyclic Quadrilaterals,"In a cyclic quadrilateral ABCD, the angles are in the ratio angle A : angle B : angle C = 2 : 3 : 4. Find angle D.",90°,60°,120°,80°,Option A,"angle A + angle C = 180° => 2x + 4x = 180° => x = 30°, so angle A = 60°, angle C = 120° and angle B = 90°. Hence angle D = 180° - angle B = 90°.",hard
43,Class 9,Maths,Circles,Perpendicular from Center to Chord,"Two circles of radii 5 cm and 3 cm intersect at two points, and the distance between their centers is 4 cm. The length of their common chord is:",6 cm,8 cm,4 cm,3 cm,Option A,"Let M be the midpoint of the common chord on the line of centers. If AM = x and BM = 4 - x, then x^2 + h^2 = 25 and (4 - x)^2 + h^2 = 9. Solving gives x = 4, so the chord passes through the center of the smaller circle and h = 3. Common chord = 2h = 6 cm.",hard
44,Class 9,Maths,Circles,Cyclic Quadrilaterals,"ABCD is a cyclic quadrilateral and its diagonals intersect at P. If angle DBC = 30° and angle BAC = 50°, find angle BCD.",100°,80°,50°,130°,Option A,"angle DAC = angle DBC = 30° (angles in the same segment DC). So angle BAD = 50° + 30° = 80°. In a cyclic quadrilateral, angle BAD + angle BCD = 180°, giving angle BCD = 100°.",hard
