ID,Class,Subject,Chapter,Topic,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation
11,Class 10,Maths,Trigonometry,Values of T-ratios,"The value of (sin 30° + tan 45° - cosec 60°) / (sec 30° + cos 60° + cot 45°) is:","(43 - 24*sqrt(3)) / 11","(43 + 24*sqrt(3)) / 11","(3 - sqrt(3)) / 2","1",Option A,"Substituting standard values: sin 30°=1/2, tan 45°=1, cosec 60°=2/sqrt(3), sec 30°=2/sqrt(3), cos 60°=1/2, cot 45°=1. Simplifying gives (43 - 24*sqrt(3))/11."
12,Class 10,Maths,Circles,Tangents to a Circle,"From a point Q, the length of the tangent to a circle is 24 cm and the distance of Q from the centre is 25 cm. The radius of the circle is:","7 cm","12 cm","15 cm","24.5 cm",Option A,"By Pythagoras theorem in right triangle OPQ: OP = sqrt(OQ^2 - PQ^2) = sqrt(25^2 - 24^2) = sqrt(625 - 576) = sqrt(49) = 7 cm."
13,Class 10,Maths,Statistics,Empirical Relationship,"For a given frequency distribution, if Mean = 30 and Median = 35, then the Mode is:","40","45","50","55",Option B,"Empirical formula: Mode = 3*Median - 2*Mean = 3(35) - 2(30) = 105 - 60 = 45."
14,Class 10,Maths,Probability,Events & Probability,"Which of the following cannot be the probability of an event?","2/3","-1.5","15%","0.7",Option B,"The probability of any event always lies between 0 and 1 inclusive (0 <= P(E) <= 1). Probability can never be negative."
15,Class 9,Maths,Number Systems,Rational & Irrational Numbers,"Which of the following is an irrational number?","sqrt(4/9)","sqrt(12) / sqrt(3)","sqrt(7)","sqrt(81)",Option C,"sqrt(7) cannot be expressed as p/q where p,q are integers and q != 0; its decimal expansion is non-terminating and non-recurring."
16,Class 9,Maths,Polynomials,Degree & Classification,"The degree of the zero polynomial is:","0","1","Any natural number","Not defined",Option D,"The zero polynomial P(x) = 0 has no non-zero term, so its degree is not defined."
17,Class 9,Maths,Coordinate Geometry,Cartesian Plane,"A point both of whose coordinates are negative will lie in:","Quadrant I","Quadrant II","Quadrant III","Quadrant IV",Option C,"In Quadrant III, the x-coordinate is negative (x < 0) and the y-coordinate is negative (y < 0)."
18,Class 9,Maths,Linear Equations,Solutions of Linear Equation,"Any point on the x-axis is of the form:","(x, y)","(0, y)","(x, 0)","(x, x)",Option C,"On the x-axis, the vertical displacement (y-coordinate/ordinate) is always 0. Hence every point is of the form (x, 0)."
19,Class 9,Maths,Triangles,Congruence Criteria,"Which of the following is not a congruence criterion for triangles?","SAS","ASA","SSA","SSS",Option C,"SSA (Side-Side-Angle) is not a valid congruence rule because two non-congruent triangles can have two sides and a non-included angle equal."
20,Class 9,Maths,Probability,Empirical Probability,"A coin is tossed 1000 times with frequencies: Head: 455, Tail: 545. The probability of getting a Head is:","0.455","0.545","0.5","1",Option A,"Empirical probability P(Head) = Number of Heads / Total tosses = 455 / 1000 = 0.455."
21,Class 10,Science,Chemical Reactions and Equations,Types of Chemical Reactions,"When aqueous solutions of barium chloride and sodium sulphate react, the precipitate formed is:","Barium chloride","Sodium chloride","Barium sulphate","Sodium sulphide",Option C,"BaCl2 (aq) + Na2SO4 (aq) -> BaSO4 (s, white ppt) + 2NaCl (aq). This is a precipitation and double displacement reaction."
22,Class 10,Science,Light - Reflection and Refraction,Mirrors & Lenses,"A concave mirror produces a real, inverted and magnified image of an object when the object is placed:","At infinity","Beyond C","Between F and C","Between pole P and focus F",Option C,"When the object is between C (centre of curvature) and F (focus), the concave mirror forms a real, inverted, and magnified image beyond C."
23,Class 10,Science,Electricity,Ohm's Law & Resistance,"If the resistance of a wire of length L and area of cross-section A is R, then the resistance of another wire of the same material having length 2L and area 2A is:","R/2","R","2R","4R",Option B,"R = rho * (L / A). For new wire: R' = rho * (2L / 2A) = rho * (L / A) = R. Hence resistance remains unchanged."
24,Class 9,Science,Motion,Equations of Motion,"A car accelerates uniformly from 18 km/h to 36 km/h in 5 s. The acceleration is:","1 m/s^2","2 m/s^2","3.6 m/s^2","5 m/s^2",Option A,"u = 18 km/h = 5 m/s; v = 36 km/h = 10 m/s; t = 5 s. Acceleration a = (v - u)/t = (10 - 5)/5 = 1 m/s^2."
25,Class 9,Science,Gravitation,Universal Law of Gravitation,"The value of acceleration due to gravity 'g' on Earth:","Is same on equator and poles","Is least on poles","Is least on equator","Increases from pole to equator",Option C,"Since Earth is flattened at poles and bulges at equator (R_equator > R_pole), g = G*M / R^2 is minimum at the equator and maximum at the poles."
